,RM355 ZN14 ZN-T,KIT-OFF ZN10 ZN-T,GUIDANCE ZN11 ZN-T,PRINCIPAL ZN11 ZN-T,RM260B ZN11 ZN-T,RM375 ZN14 ZN-T,RM375-02 ZN-T,RM377-01 ZN18 ZN-T,RM361 ZN20 ZN-T,RM116 ZN06 ZN-T,RM138 ZN09 ZN-T,RM260 ZN11 ZN-T,RM303 ZN14 ZN-T,RM305 ZN14 ZN-T,RM307 ZN14 ZN-T,RM309 ZN-T,RM310 ZN09 ZN-T,RM311 ZN14 ZN-T,RM313 ZN14 ZN-T,RM335 ZN18 ZN-T,RM337 ZN18 ZN-T,RM339 ZN18 ZN-T,RM343 ZN18 ZN-T,RM349 ZN20 ZN-T,RM353 ZN-T,RM373 ZN14 ZN-T,RM379 ZN18 ZN-T,RM137 ZN09 ZN-T,RM139 ZN09 ZN-T,RM201 ZN19 ZN-T,RM203 ZN19 ZN-T,RM205 ZN19 ZN-T,RM207 ZN19 ZN-T,RM211 ZN19 ZN-T,RM215 ZN-T,RM222 ZN-T,RM224 ZN-T,RM225 ZN-T,RM226 ZN-T,RM227 ZN-T,RM228 ZN-T,RM230 ZN-T,RM232 ZN-T,RM237 ZN-T,RM241 ZN-T,RM243 ZN-T,RM245 ZN-T,RM247 ZN-T,RM249 ZN-T,RM251 ZN-T,RM253 ZN-T,RM255B ZN-T,RM364A ZN02 ZN-T,RM364B ZN02 ZN-T,RM267 ZN-T,RM271 ZN-T,RM273 ZN-T,RM301 ZN20 ZN-T,RM320 ZN22 ZN-T,RM323 ZN22 ZN-T,RM325 ZN22 ZN-T,RM326 ZN22 ZN-T,RM328 ZN22 ZN-T,RM345 ZN18 ZN-T,RM347 ZN20 ZN-T,RM351 ZN18 ZN-T,RM357 ZN20 ZN-T,RM359- ZN20 ZN-T,RM365 ZN20 ZN-T,RM367 ZN20 ZN-T,RM369 ZN20 ZN-T,RM370 ZN20 ZN-T,RM377 ZN14 ZN-T,RM381 ZN18 ZN-T,Cafe UV08 ZN08 ZN-T,Cafe UV01 ZN08 ZN-T,Cafe UV14 ZN08 ZN-T,Cafe UV02 ZN08ZN-T,FieldHouse-NE ZN1 ZN-T,FieldHouse-NW ZN1 ZN-T,FieldHouse-SE ZN1 ZN-T,FieldHouse-SW ZN1 ZN-T
2018-12-30 00:45:00,65.51117,70.12924,58.1249,58.97554,66.3725,58.75082,60.33368,62.30579,62.51337,59.90726,56.67493,66.37623,64.1741,62.72095,62.9545,61.83871,63.35412,61.6311,62.77289,57.79074,60.33368,61.08621,61.6311,60.02231,57.27176,59.06219,59.55524,58.59512,56.46732,65.65317,64.43356,63.88867,54.733,62.63022,59.70436,60.61645,59.42193,59.79948,62.5158,61.64651,59.24867,59.61951,64.96556,59.32862,60.3326,59.57745,60.19718,60.4386,61.89871,61.28013,59.83086,59.61847,64.0184,65.00446,62.24706,63.29312,61.22489,65.70505,56.25974,61.55325,63.78488,64.745,65.91266,61.29379,60.22989,56.15594,59.60712,61.34567,,59.01031,60.67102,59.81473,58.69891,61.29379,66.31323,66.14456,66.31323,66.14456,56.96875,56.875,62.65625,57.53125
2018-12-30 00:47:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 00:50:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.75082,,,,,,,,,,,,,
2018-12-30 00:58:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 01:00:00,65.51117,70.12924,58.1249,58.97554,66.3725,58.75082,60.33368,62.25391,62.56525,59.90726,58.17996,66.37623,64.1741,62.77289,62.90262,61.78683,63.45484,61.6311,62.77289,57.79074,60.33368,61.13812,61.6311,60.07419,57.27176,59.01031,59.55524,58.54324,56.67493,65.60126,64.43356,63.88867,54.88867,62.63022,59.28835,59.60589,59.42193,59.79948,62.5158,61.64651,59.24867,59.61951,65.16763,59.32862,60.3326,59.57745,60.19718,60.4386,61.89871,61.28013,59.83086,61.20161,64.07031,65.00446,62.24706,63.29312,61.22489,65.70505,56.46732,61.60516,63.83676,64.90067,65.91266,61.34567,60.22989,56.31165,59.50333,61.29379,58.69891,59.01031,60.61911,59.71091,58.69891,61.29379,65.80716,65.63843,65.80716,65.63843,56.90625,56.78125,62.65625,57.53125
2018-12-30 01:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.69891,,,,,,,,,,,,,
2018-12-30 01:10:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-30 01:15:00,65.51117,70.12924,58.1249,58.97554,66.3725,58.69891,60.22989,62.30579,62.61716,59.90726,56.46732,66.37623,64.12219,62.77289,62.85071,61.73492,63.55558,61.68301,62.72095,57.79074,60.22989,61.13812,61.6311,60.07419,57.27176,59.01031,59.50333,58.49133,56.41544,65.60126,64.43356,63.83676,54.96649,62.63022,59.08683,59.25222,59.42193,59.79948,62.71751,61.64651,59.24867,59.61951,65.16763,59.32862,60.3326,59.57745,60.19718,60.4386,61.89871,61.28013,59.83086,60.62741,64.07031,65.00446,62.24706,63.29312,61.22489,65.70505,55.81863,61.60516,63.94055,65.00446,66.17215,61.34567,60.22989,56.57114,59.55524,61.29379,,58.9584,60.61911,59.76285,58.75082,61.34567,65.30103,65.13235,65.30103,65.13235,56.78125,56.71875,62.46875,57.375
2018-12-30 01:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.64703,,,,,,,,,,,,,
2018-12-30 01:21:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
